CODIGO;DESCRIPCION;EXISTENCIA;PRECIO
27060-35060N;ALTERNADOR 22R REDONDO NEXG.;32.00;550.00
27060-35160N;ALTERNADOR 22R OVALADO NEXG.;28.00;550.00
30611-N4025;KIT REP. BOM. CENTRAL DE CLUTCH NISSAN DATSUN 5/8;3.00;35.00
30621-08025;KIT REP. BOM. AUXILIAR DE CLUTCH NISSAN DATSUN 3/4;3.00;17.00
31100-RAA-A01N;ALTERNADOR CR-V 07-11 , CIVIC 06-11;11.00;1235.00
312-1501-1L;LAMPARA DE ESQUINA 22R 89- 2WD CROMADA IZQUIERDA;12.00;110.00
312-1501-1R;LAMPARA DE ESQUINA 22R 89- 2WD CROMADA DERECHA;10.00;110.00
312-1510-1L;LAMPARA DE ESQUINA 22R 92-95 4WD CROMADA IZQUIERDA;12.00;120.00
312-1510-1R;LAMPARA DE ESQUINA 22R 92-95 4WD CROMADA DERECHA;12.00;120.00
312-1512L-2;LAMPARA ESQUINA IZQUIERDA 22R AMBAR M/N;23.00;72.00
312-1512R-2;LAMPARA ESQUINA DERECHA 22R AMBAR M/N;21.00;72.00
312-1512RLN;LAMPARA ESQUINA 22R PAR (R/L);142.00;70.00
312-1515L;LAMPARA DE ESQUINA TACOMA 4WD CROMO 95-07 IZQUIERDA;4.00;148.50
312-1515R;LAMPARA DE ESQUINA TACOMA 4WD CROMO 95-07 DERECHA;4.00;148.50
312-1527L;LAMPARA DE ESQUINA TACOMA 2WD -97 IZQUIERDA;1.00;119.00
312-1527R;LAMPARA DE ESQUINA TACOMA 2WD -97 DERECHA;2.00;119.00
312-1534L;LAMPARA DE ESQUINA TACOMA 2WD/4WD  98-00 IZQUIERDA;2.00;130.00
312-1534R;LAMPARA DE ESQUINA TACOMA 2WD/4WD  98-00 DERECHA;2.00;130.00
312-1913L;LAMPARA TRASERA TACOMA 2WD/4WD 95-00 IZQUIERDA;2.00;250.00
312-1913R;LAMPARA TRASERA TACOMA 2WD/4WD 95-00 DERECHA;2.00;250.00
31410-35090N;BOMBA CENTRAL CLUTCH 5/8 TOY 22R 84-88;258.00;110.00
31410-35140;BOMBA C. CLUTCH 5/8 TOY 22R 79- (31410-35090);42.00;110.00
31410-35250;BOMBA CENTRAL DE CLUTCH 5/8 22R 89-95;43.00;110.00
31410-35250N;BOMBA CENTRAL DE CLUTCH 5/8 22R 89-95;174.00;110.00
31410-60050 Y;BOMBA C. CLUTCH 3/4 TOY. LAND CRUISER 81- YUHOLI;2.00;157.00
31420-1410N;"BOMBA.CENTRAL.CLUTCH. 3/4"" HNO FF DE RODADO NEXG.";82.00;170.00
31420-1512N;"BOMBA.CENTRAL.CLUTCH. 3/4"" HNO FB/FC AGENCIA Y RODADO 10.4T MFD 90-";15.00;167.00
31470-1040N;BOMBA AUX CLUTCH 7/8 HNO FF RODADO NEXG.;142.00;125.00
31470-30220N;BOMBA AUX. CLUTCH 13/16 TOYOTA HILUX 84-;84.00;70.00
31470-30220Y;BOMBA AUXILIAR 13/16 TOYOTA HILUX 84- YUHOLI;1.00;70.00
31470-35050;BOMBA AUX. CLUTCH 13/16 TOY 22R;37.00;75.00
31470-35050N;BOMBA AUX. CLUTCH 13/16 TOY 22R NEXG.;229.00;70.00
31470-35050Y;BOMBA AUX. CLUTCH 13/16 TOY 22R YUHOLI;2.00;75.00
37230-0K020;SOPORTE DE TRANSMISION  TOYOTA VIGO 2WD,4WD 04-;7.00;120.00
37230-35030;SOPORTE DE TRANSMISION TOYOTA PICK UP WD 79-;9.00;99.00
37230-35050;SOPORTE TRANSMISION TOYOTA PICK UP 2WD 84-;22.00;95.00
37230-35080;SOPORTE DE TRANSMISION  TOY 4WD 83-;5.00;150.00
37521-01W25;SOPORTE DE TRASMICION NISSAN 720 80-86;3.00;96.00
37521-33G25;SOPORTE DE TRASMICION NISSAN PICK UP D21 88-96;2.00;96.00
37521-W1027;SOPORTE DE TRASMICION NISSAN D21 80-94;4.00;98.00
41100-B9600Y;BOMBA AUX. F.1 DAT. PICKUP DEL DERECHA YUHOLY;2.00;87.00
41101-B9600;"BOMBA AUXILIAR DE FRENO 1"" DATSUN PICK-UP DEL. DERECHA YUHOLI";1.00;87.00
41102-B9600 Y;"BOMBA AUX. FRENO 1"" DAT.PICKUP DEL. IZQUIE. YUHOLI";1.00;105.00
41103-B9600;"BOMBA AUXILIAR DE FRENO 1"" DATSUN PICK-UP DEL. IZQ";1.00;87.00
41110-10-41N;CORONA Y PIÑON RELACION 10-41 80181;113.00;660.00
41110-10-43N;CORONA Y PIÑON RELACION 10-43 80204;6.00;660.00
41110-9-41;CORONA Y PIÑON RELACION 9-41 29536;5.00;730.00
41110-9-41N;CORONA Y PIÑON RELACION 9-41 29536;129.00;660.00
44610-04040;"BOSTER TACOMA 95-01 9"" 2WD,4WD 4 TOR";2.00;570.00
44610-04040N;"BOSTER TACOMA 95-01 9"" 2WD,4WD 4 TOR NEXG.";4.00;485.00
44610-04100;BOSTER TYT TACOMA 5VZ 01-04 2TOR;1.00;523.00
